date,open,high,low,close,volume,average,barCount
2024-01-26,194.21,194.77,191.93,192.41,-1.0,-1.0,-1
2024-01-29,192.02,192.2,189.57,191.79,-1.0,-1.0,-1
2024-01-30,190.95,191.81,187.46,187.99,-1.0,-1.0,-1
2024-01-31,187.07,187.11,184.37,184.38,-1.0,-1.0,-1
2024-02-01,184.07,186.92,183.82,186.9,-1.0,-1.0,-1
2024-02-02,179.86,187.31,179.26,185.85,-1.0,-1.0,-1
2024-02-05,188.21,189.26,185.84,187.67,-1.0,-1.0,-1
2024-02-06,186.85,189.31,186.77,189.29,-1.0,-1.0,-1
2024-02-07,190.57,191.04,188.61,189.42,-1.0,-1.0,-1
2024-02-08,189.33,189.54,187.34,188.33,-1.0,-1.0,-1
2024-02-09,188.66,189.99,188.0,188.84,-1.0,-1.0,-1
2024-02-12,188.4,188.67,186.79,187.18,-1.0,-1.0,-1
2024-02-13,185.75,186.2,183.51,185.03,-1.0,-1.0,-1
2024-02-14,185.29,185.54,182.43,184.04,-1.0,-1.0,-1
2024-02-15,183.47,184.48,181.4,183.93,-1.0,-1.0,-1
2024-02-16,183.46,184.85,181.66,182.3,-1.0,-1.0,-1
2024-02-20,181.77,182.44,180.0,181.62,-1.0,-1.0,-1
2024-02-21,181.99,182.89,180.66,182.33,-1.0,-1.0,-1
2024-02-22,183.49,184.96,182.46,184.38,-1.0,-1.0,-1
2024-02-23,185.05,185.05,182.31,182.5,-1.0,-1.0,-1
2024-02-26,182.29,182.76,180.65,181.15,-1.0,-1.0,-1
2024-02-27,181.06,183.93,180.0,182.65,-1.0,-1.0,-1
2024-02-28,182.6,183.11,180.13,181.43,-1.0,-1.0,-1
2024-02-29,181.25,182.57,179.53,180.77,-1.0,-1.0,-1
2024-03-01,179.56,180.53,177.38,179.65,-1.0,-1.0,-1
2024-03-04,176.15,176.9,173.79,175.09,-1.0,-1.0,-1
2024-03-05,170.78,172.03,169.63,170.16,-1.0,-1.0,-1
2024-03-06,171.07,171.24,168.68,169.13,-1.0,-1.0,-1
2024-03-07,169.09,170.73,168.49,168.98,-1.0,-1.0,-1
2024-03-08,169.03,173.7,168.93,170.74,-1.0,-1.0,-1
2024-03-11,172.95,174.37,172.04,172.79,-1.0,-1.0,-1
2024-03-12,173.15,174.03,171.01,173.23,-1.0,-1.0,-1
2024-03-13,172.88,173.19,170.76,171.18,-1.0,-1.0,-1
2024-03-14,172.9,174.31,172.06,173.09,-1.0,-1.0,-1
2024-03-15,171.25,172.6,170.28,172.56,-1.0,-1.0,-1
2024-03-18,175.45,177.71,173.52,173.72,-1.0,-1.0,-1
2024-03-19,174.34,176.61,173.03,176.07,-1.0,-1.0,-1
2024-03-20,175.62,178.67,175.08,178.67,-1.0,-1.0,-1
2024-03-21,176.97,177.5,170.84,171.4,-1.0,-1.0,-1
2024-03-22,171.68,173.06,170.06,172.25,-1.0,-1.0,-1
2024-03-25,170.58,171.94,169.44,170.86,-1.0,-1.0,-1
2024-03-26,170.09,171.43,169.61,169.81,-1.0,-1.0,-1
2024-03-27,170.38,173.6,170.11,173.41,-1.0,-1.0,-1
2024-03-28,171.7,172.23,170.51,171.53,-1.0,-1.0,-1
