date,open,high,low,close,volume,average,barCount
2023-10-25,433.97,436.39,415.58,417.61,-1.0,-1.0,-1
2023-10-26,418.71,422.54,398.85,402.75,-1.0,-1.0,-1
2023-10-27,411.33,411.97,400.2,405.02,-1.0,-1.0,-1
2023-10-30,410.75,417.65,404.87,411.57,-1.0,-1.0,-1
2023-10-31,404.2,408.75,392.33,407.72,-1.0,-1.0,-1
2023-11-01,408.88,423.79,408.81,423.15,-1.0,-1.0,-1
2023-11-02,433.5,438.81,428.94,435.12,-1.0,-1.0,-1
2023-11-03,440.12,453.08,437.3,450.05,-1.0,-1.0,-1
2023-11-06,452.87,459.32,449.0,457.57,-1.0,-1.0,-1
2023-11-07,457.0,462.18,451.61,459.54,-1.0,-1.0,-1
2023-11-08,460.9,468.64,459.77,465.8,-1.0,-1.0,-1
2023-11-09,474.64,482.28,467.53,469.51,-1.0,-1.0,-1
2023-11-10,474.75,484.72,472.88,483.39,-1.0,-1.0,-1
2023-11-13,483.46,491.15,481.0,486.13,-1.0,-1.0,-1
2023-11-14,497.0,498.33,490.47,496.52,-1.0,-1.0,-1
2023-11-15,499.29,499.58,482.02,489.1,-1.0,-1.0,-1
2023-11-16,486.75,495.25,483.35,494.86,-1.0,-1.0,-1
2023-11-17,495.02,497.14,490.1,492.98,-1.0,-1.0,-1
2023-11-20,493.11,505.47,491.83,504.19,-1.0,-1.0,-1
2023-11-21,501.35,505.12,492.25,499.84,-1.0,-1.0,-1
2023-11-22,498.34,503.33,477.69,487.04,-1.0,-1.0,-1
2023-11-24,484.75,489.21,477.47,477.59,-1.0,-1.0,-1
2023-11-27,477.93,485.31,476.64,482.35,-1.0,-1.0,-1
2023-11-28,482.34,483.14,474.78,478.17,-1.0,-1.0,-1
2023-11-29,483.64,487.61,478.63,481.31,-1.0,-1.0,-1
2023-11-30,480.12,481.08,464.25,467.81,-1.0,-1.0,-1
2023-12-01,465.16,471.98,461.93,467.51,-1.0,-1.0,-1
2023-12-04,460.66,460.77,450.11,455.07,-1.0,-1.0,-1
2023-12-05,454.53,466.0,452.77,465.77,-1.0,-1.0,-1
2023-12-06,472.11,473.78,454.15,455.08,-1.0,-1.0,-1
2023-12-07,457.0,466.29,456.07,465.98,-1.0,-1.0,-1
2023-12-08,465.68,477.4,465.5,475.08,-1.0,-1.0,-1
2023-12-11,475.39,475.39,458.31,466.36,-1.0,-1.0,-1
2023-12-12,460.45,476.61,460.45,476.54,-1.0,-1.0,-1
2023-12-13,476.1,485.92,476.09,480.95,-1.0,-1.0,-1
2023-12-14,483.75,486.68,474.22,483.45,-1.0,-1.0,-1
2023-12-15,482.25,494.03,481.25,489.17,-1.0,-1.0,-1
2023-12-18,493.88,504.33,491.6,500.79,-1.0,-1.0,-1
2023-12-19,494.16,496.96,488.97,496.08,-1.0,-1.0,-1
2023-12-20,496.49,499.97,481.06,481.15,-1.0,-1.0,-1
2023-12-21,488.16,490.93,484.2,489.9,-1.0,-1.0,-1
2023-12-22,491.93,493.8,484.67,488.27,-1.0,-1.0,-1
2023-12-26,489.54,495.99,489.54,492.81,-1.0,-1.0,-1
2023-12-27,495.1,496.79,490.87,494.19,-1.0,-1.0,-1
2023-12-28,496.37,498.84,494.15,495.2,-1.0,-1.0,-1
2023-12-29,498.06,499.98,487.54,495.22,-1.0,-1.0,-1
2024-01-02,492.67,492.94,476.0,481.86,-1.0,-1.0,-1
2024-01-03,474.68,481.84,473.25,475.81,-1.0,-1.0,-1
2024-01-04,477.57,485.0,475.1,479.94,-1.0,-1.0,-1
2024-01-05,484.5,495.45,483.3,490.87,-1.0,-1.0,-1
2024-01-08,495.08,522.75,494.84,522.6,-1.0,-1.0,-1
2024-01-09,524.2,543.23,516.99,531.36,-1.0,-1.0,-1
2024-01-10,536.15,546.0,534.96,543.41,-1.0,-1.0,-1
2024-01-11,549.88,553.39,535.64,548.27,-1.0,-1.0,-1
2024-01-12,546.18,549.67,543.35,547.1,-1.0,-1.0,-1
2024-01-16,550.13,568.32,549.09,563.99,-1.0,-1.0,-1
2024-01-17,563.47,564.71,547.45,560.45,-1.0,-1.0,-1
2024-01-18,572.76,575.99,561.15,571.08,-1.0,-1.0,-1
2024-01-19,579.73,594.99,572.3,594.97,-1.0,-1.0,-1
2024-01-22,600.48,603.3,590.75,596.69,-1.0,-1.0,-1
2024-01-23,595.56,599.09,585.88,598.65,-1.0,-1.0,-1
2024-01-24,603.09,628.4,599.46,613.56,-1.0,-1.0,-1
2024-01-25,623.33,627.11,608.58,616.52,-1.0,-1.0,-1
2024-01-26,609.57,617.78,605.75,610.19,-1.0,-1.0,-1
2024-01-29,612.32,624.84,609.09,624.76,-1.0,-1.0,-1
2024-01-30,629.18,634.9,622.65,627.6,-1.0,-1.0,-1
2024-01-31,613.95,622.64,607.03,615.06,-1.0,-1.0,-1
2024-02-01,621.03,631.89,616.55,630.26,-1.0,-1.0,-1
2024-02-02,639.81,665.97,636.94,661.54,-1.0,-1.0,-1
2024-02-05,682.33,694.87,672.08,693.14,-1.0,-1.0,-1
2024-02-06,696.21,697.54,663.09,682.24,-1.0,-1.0,-1
2024-02-07,683.05,702.21,676.01,701.2,-1.0,-1.0,-1
2024-02-08,700.43,707.87,694.64,696.48,-1.0,-1.0,-1
2024-02-09,705.34,721.84,702.21,721.23,-1.0,-1.0,-1
2024-02-12,725.91,746.09,712.66,722.95,-1.0,-1.0,-1
2024-02-13,704.46,734.44,696.29,721.86,-1.0,-1.0,-1
2024-02-14,732.25,742.29,719.51,738.59,-1.0,-1.0,-1
2024-02-15,738.49,739.71,724.09,726.7,-1.0,-1.0,-1
2024-02-16,741.12,743.94,725.03,726.0,-1.0,-1.0,-1
2024-02-20,719.34,719.45,677.5,694.6,-1.0,-1.0,-1
2024-02-21,679.95,688.78,662.54,674.95,-1.0,-1.0,-1
2024-02-22,750.3,785.71,742.37,784.95,-1.0,-1.0,-1
2024-02-23,807.9,823.95,775.79,788.31,-1.0,-1.0,-1
2024-02-26,797.07,806.26,785.23,791.13,-1.0,-1.0,-1
2024-02-27,793.71,794.72,771.79,787.1,-1.0,-1.0,-1
2024-02-28,776.19,789.31,771.33,776.88,-1.0,-1.0,-1
2024-02-29,790.87,799.87,783.54,792.27,-1.0,-1.0,-1
2024-03-01,800.2,822.99,794.49,822.67,-1.0,-1.0,-1
2024-03-04,841.4,876.95,837.24,852.52,-1.0,-1.0,-1
2024-03-05,852.68,860.88,834.38,859.95,-1.0,-1.0,-1
2024-03-06,880.1,897.15,870.46,887.41,-1.0,-1.0,-1
2024-03-07,901.46,927.42,896.11,926.32,-1.0,-1.0,-1
2024-03-08,950.88,973.91,865.18,875.39,-1.0,-1.0,-1
2024-03-11,864.19,887.9,842.13,857.94,-1.0,-1.0,-1
2024-03-12,880.52,919.5,861.7,919.5,-1.0,-1.0,-1
2024-03-13,910.29,915.0,884.51,909.25,-1.0,-1.0,-1
2024-03-14,895.77,906.32,866.06,880.06,-1.0,-1.0,-1
2024-03-15,869.31,895.39,862.63,878.37,-1.0,-1.0,-1
2024-03-18,903.51,923.93,870.97,884.53,-1.0,-1.0,-1
2024-03-19,866.45,905.26,850.13,893.82,-1.0,-1.0,-1
2024-03-20,897.81,903.96,882.26,903.6,-1.0,-1.0,-1
2024-03-21,922.93,926.27,904.12,913.79,-1.0,-1.0,-1
2024-03-22,911.36,947.72,908.48,942.56,-1.0,-1.0,-1
2024-03-25,940.16,967.46,935.12,950.03,-1.0,-1.0,-1
2024-03-26,958.43,963.61,925.11,925.98,-1.0,-1.0,-1
2024-03-27,930.92,932.24,891.38,903.04,-1.0,-1.0,-1
2024-03-28,899.96,912.87,892.03,902.71,-1.0,-1.0,-1
